ID,Target
ID_AAGuzGzi,vi lε nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ do nu nu nu ye nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ ɖo
ID_AAuiTPkQ,vi ɔ nɔ nɔ nɔ ɖo xwe ɔ ɖo xwe ɔ
ID_ACYgGXTq,vi lε nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ yi nu nu ye nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ
ID_AFBqjFUm,un nɔ mɔ nu bo na na na na ɖu nu ye
ID_AFFhTuyI,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo tɔ ɔ ɖo tɔ ɔ ɖo xwe ɔ wε
ID_AGLORnKo,vi ɔ nɔ wa nu e nɔ wa
ID_AGZbvlsl,vi ɔ nɔ wa nu bo na wa
ID_AGdMSyhM,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo tɔ ɔ mɛ
ID_AGgVcqrD,nùtɔ́
ID_AHZKhnUs,un nɔ nɔ mɔ nu ye ɖo azɔ tɔn tɔn tɔn tɔn wɛ
ID_AHvIRjeh,vi ɔ ɖo atin ɔ wε.
ID_AIKcbOfb,e nɔ yi wan nu nu ye
ID_AJABCnhq,nùtɔ́
ID_AKCDXnlk,vi lε nɔ nɔ nɔ nɔ nɔ nɔ yi nu nu ye nɔ nɔ yi nu nu ye nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ yi nu ye nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ na na na na na na na na na na na na na na na na na na na na na na na na
ID_AKgzjnpG,un ɖo azɔ ce wɛ
ID_AKhdDoZX,vi ɔ ɖo azɔ ɔ ɖo vi ɔ ɖo vi ɔ
ID_AKvuZDyP,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi lε ɖo vi ɔ ɖo vi ɔ ɖo vi lε ɖo vi ɔ ɖo vi ɔ ɖo xwe lε ɖo xwe lε ɖo xwe lε ɖo atin lε ɖo atin lε ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi lε ɖo vi lε ɖo vi lε ɖo xwe
ID_AMfxUgMZ,xwe ɔ ɖo vi ɔ wε
ID_AMjTaAcP,un ɖo azɔ lε ɖo xwe ɔ ɖo xwe ɔ ɖo xwe ɔ wε
ID_ANaDIUKH,mɛ e nɔ nɔ nɔ mɔ nu e nɔ mɔ nu nu e nɔ wa nu e nɔ nɔ nɔ nɔ nɔ wa nu e nɔ ɖɔ e nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ ɖɔ nu nu nu nu nu nu nu nu e nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ
ID_AOEUTQNg,awii ɔ
ID_AOewtrgx,un ɖo vi ce ɖo vi ce ɖo xwe ce wɛ
ID_APGvQRKj,un nɔ nɔ ɖo azɔ lε ɖo azɔ lε ɖo azɔ lε ɖo azɔ lε lε wε
ID_AQwCrnrp,nùtɔ́
ID_ASUpLKkm,vi ɔ ɖo atin ɔ wε.
ID_ATFTNCCT,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo tɔ ɔ ɖo tɔ ɔ ɖo tɔ ɔ ɖo atin ɔ ɖo tɔ ɔ ɖo atin ɔ ɖo tɔ ɔ ɖo atin ɔ ɖo ye ɖo
ID_AURnloun,vi lε nɔ yi wan mi
ID_AVFEWNTE,awii ɔ
ID_AVLwqgfB,vi lε ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo
ID_AXnfnPGR,nùtɔ́
ID_AYlXQvju,vi ɔ ɖo atin ɔ wε.
ID_AZHOICQH,vi ɔ nɔ nɔ nɔ nɔ nɔ nɔ ɖu nu ye
ID_AZMWyGrb,yi wan nu nu mi ɖo xwe ɔ
ID_AZUduefW,vi ɔ ɖo xwe wε.
ID_AaJqECwu,etɛ wutu e nɔ nɔ nɔ nɔ ɖu nu vi ɔ ?
ID_AaQHCbOD,un nɔ mɔ nu bo na mɔ nu bo na wa
ID_AbaZhDGl,un ɖo vi ce ɖo vi ce lɛ ɖo xwe ce wɛ
ID_AcdMnksw,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo xwe lε ɖo xwe lε ɖo xwe lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo xwe
ID_AeRymbUK,vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε lε wε
ID_AfHbEHtt,vi ɔ ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo vi lε ɖo ye ɖo ye ɖo ye ɖo ye ɖo vi lε ɖo vi lε ɖo vi lε ɖo ye ɖo ye ɖo ye ɖo vi lε ɖo vi lε ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo vi lε ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo ye ɖo
ID_AfJfeFwk,un ɖo azɔ ɔ ɖo xwe wɛ
ID_AfjWtTQP,dŏ mε
ID_AhfoTmrj,vi ɔ ɖo vi ɔ wɛ
ID_AjeauSOT,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo tɔ ɔ ɖo tɔ ɔ ji
ID_AjgngrRb,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ
ID_AjrvFFDc,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ
ID_AmKeOqwC,vi ɔ ɖo tɔ ɔ wɛ
ID_AmscruQC,vi ɔ ɖo xwe ɔ ɖo xwe ɔ ɖo
ID_AnKViCZk,awii ɔ
ID_AodFeDJt,vi ɔ nɔ nɔ wa nu e nɔ wa nu e nɔ wa
ID_AodkhYRt,un na yi wan nu nu un na wa nu nu mi
ID_AodlcTtj,vi ɔ ɖo tɔ ɔ wɛ
ID_ApSPNYda,vi ce ɖo vi ce wɛ un ɖo
ID_ApWMaHjF,etɛ wutu e nɔ ɖu nu ye ?
ID_ApcetDLk,vi lε ɖo atin ɔ ɖo atin ɔ ɖo atin ɔ
ID_AplzWgcQ,awii ce lɛ
ID_AppxVoEe,vi ɔ ɖo vi ɔ ɖo xwe ɔ ɖo xwe wɛ
ID_AqKgIqHT,un na na na yi wan nu vi ɔ bo na na na na na yi nu nu nu nu nu nu nu nu nu nu ye
ID_AtjyXIUm,vì ɔ́ ɖò nù wɛ̀
ID_AtnpKXMg,vi ɔ nɔ yi wan nu mi ?
ID_AuLUXvri,awii ce ce
ID_AwKOmibF,vi ɔ ɖo vi ɔ wε
ID_AwegUEWB,vi ɔ ɖo tɔ ɔ ɖo tɔ ɔ ji
ID_AyXborpK,vi ɔ ɖo vi ɔ ɖo tɔ ɔ
ID_AyyIZThj,vi ɔ ɖo xwe wɛ
ID_AzilTksy,un ɖo azɔ ɔ ɖo azɔ ɔ ɖo xwe tɔn wɛ
ID_BFNWRufz,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo atin ɔ
ID_BFQmZZGB,vi ɔ ɖo xwe wɛ
ID_BFScgTdL,awii ce ɖo xwe ce wɛ
ID_BHQYWijE,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo atin ɔ wε.
ID_BJrpDYTT,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo xwe ɔ wɛ
ID_BKHMnyLk,e nɔ wa nu bo nɔ wa nu bo nɔ wa nu bo nɔ wa
ID_BKJEBwgX,e ɖo gangi à ?
ID_BLJExqMI,mi ɖo azɔ wɛ
ID_BLzLdayh,vi ɔ ɖo vi ɔ ɖo tɔ ɔ ɖo xwe ɔ
ID_BNWucUZZ,vi ɔ ɖo xwe ɔ ji
ID_BNoWUSYK,vi ɔ ɖo vi ɔ ɖo xwe ɔ wɛ
ID_BOGzjBAG,vi ɔ ɖo vi lε ɖo vi ɔ ɖo xwe ɔ ɖo xwe ɔ wɛ
ID_BPJBcMqm,awii ɔ
ID_BQbUhlmN,a na wa
ID_BRBoCxTE,un ɖo vi ce ɖo xwe ce wɛ
ID_BTUTGAQW,kofi na wa nu
ID_BTasVoaC,mi yi wan mi
ID_BTwouuWA,a na wa nu a
ID_BUrUkQpu,vi ɔ ɖo fi
ID_BVWXoJUO,vi ɔ ɖo vi ɔ ɖo xwe ɔ ɖo xwe ɔ mɛ
ID_BXfmbTES,vi ɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ yi nu nu bo nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ ɖo
ID_BXxJNFCc,awii ɔ
ID_BYomGzLo,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ
ID_BYtTcDQN,un nɔ yi wan nu nu un nɔ wa
ID_BZRPYKWP,vi lε nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nu nu ye nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nu nu ye nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ na na na na na na na na na na na na na na na na na na na na na na na na
ID_BcSnVfRh,vi ɔ ɖo vi ɔ ɖo xwe ɔ ɖo xwe ɔ mɛ
ID_BcwDHWDC,vi lε nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nu nu ye nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ nɔ na na na na na na na na na na
ID_BdhRPDMz,etɛ wutu mi nɔ yi wan nu mi ?
ID_BeSXKNjg,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo tɔ ɔ ɖo tɔ ɔ ɖo xwe ɔ ji
ID_BedwoJEn,vi ɔ ɖo vi ɔ ɖo tɔ ɔ wɛ
ID_BepaOenc,vi ɔ ɖo vi ɔ wε
ID_BgzPqOaI,vi ɔ nɔ yi wan nu vi lɛ
ID_BhbaigIK,un ɖo azɔ ce ɖu wɛ
ID_BhieLZWr,xwe ɔ
ID_BiFaIgbg,mi na yi wan nu bo na na wa nu mi
ID_BkQGWsHr,vi ɔ ɖo atin ɔ wε.
ID_BkwqlOhQ,vi ce ɖo vi lε ɖo vi ɔ ɖo vi lε ɖo vi ɔ ɖo vi lε lε wε
ID_BkzDEIlB,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo tɔ ɔ ɖo tɔ tɔn tɔn tɔn tɔn tɔn lε
ID_BkzlVmQI,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo xwe ɔ wε
ID_BmqMAMdW,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo tɔ ɔ ɖo tɔ tɔn tɔn tɔn tɔn tɔn tɔn tɔn tɔn tɔn tɔn tɔn tɔn ɖo
ID_BnynryPS,e ɖo ali wɛ
ID_BohVENfz,vi ɔ ɖo tɔ ɔ ɖo xwe ɔ wɛ
ID_BpSrmmET,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo vi ɔ wɛ
ID_Bpjtuawo,vi ɔ ɖo azɔ ɔ nɔ nɔ ɖu nu e nɔ ɖu nu mɛ
ID_BpvHerRk,vi ɔ ɖo vi ɔ ɖo vi ɔ ɖo tɔ ɔ ɖo tɔ ɔ ɖo tɔ tɔn tɔn wɛ
